Date,Month,Hot metal to SMS,Production,Productivity,Wind Volume,HBT,Hot Blast Pressure (bar),O2 Enrichment (%),Oxygen Consumption,Iron Ore,Sinter Used,Pellet Used,Coke Used,PCI Used,Limestone,Coke Rate,PCI Coal Rate,Total Fuel Rate,Sinter Percent,Pellet Percent,Iron in Burden,Ore/Coke,Slag Rate,total slag generation,Furnace Availability,Performance Rate,Quality product rate,O E E,Status,Comment
10-05-2026,May,"9,230","9,230",2,"5,800",1119.46,4.23,7.99,"35,990",0,"6,837","8,702","2,153","1,775",153,378,167,545,44,56,57,6,385,3554.00,1,0.84,0.97,0.8143334,Running,Normal and Stable Operation
11-05-2026,May,"9,020","9,020",1.9,"5,680",1104,4.22,8.51,"34,075",0,"6,007","8,644","2,139","1,714",156,568,172,740,41,59,59,6,355,3202.00,1,0.82,0,0,Running,Normal and Stable Operation
12-05-2026,May,"2,350","2,350",0.5,"2,008",952,1.44,6.30,"13,558",0,"1,325","2,460",739,459,0,505,150,655,35,65,59,4,365,858.00,1,0.21,0,0,Running,Normal and Stable Operation
13-05-2026,May,750,750,0.2,"2,057",846,1.37,5.10,"3,889",0,495,712,346,128,0,441,115,556,41,59,59,3,360,270.00,1,0.07,0,0,Running,Normal and Stable Operation
14-05-2026,May,"7,070","7,350",1.6,"5,532",1060,4.13,5.52,"17,065",0,"4,822","7,232","2,002",960,199,377,174,551,40,60,57,5,378,2778.00,1,0.67,0.7,0.4676,Running,Normal and Stable Operation
15-05-2026,May,"9,160","9,160",2,"5,640",1097,4.37,8.07,"29,095",0,"5,547","9,444","1,973","1,813",402,370,177,547,37,63,58,6,382,3499.00,1,0.83,1,0.833,Running,Normal and Stable Operation
16-05-2026,May,"9,501","9,501",2,"5,614",1116,4.40,8.16,"31,998",0,"5,678","10,094","2,062","1,911",387,372,172,544,36,64,58,6,359,3411.00,1,0.86,1,0.864,Running,Normal and Stable Operation
17-05-2026,May,"9,260","9,810",2.1,"5,697",1151,4.39,10.38,"36,870",0,"5,700","10,585","2,100","1,917",260,375,173,548,35,65,58,7,348,3411.00,1,0.89,1,0.892,Running,Normal and Stable Operation
18-05-2026,May,"8,975","9,250",2,"5,633",1169,4.39,9.93,"35,307",0,"5,377","9,560","2,196","1,819",288,372,170,542,36,64,59,6,353,3265.00,1,0.84,1,0.841,Running,Normal and Stable Operation
19-05-2026,May,"9,235","9,510",2.1,"5,532",1060,4.13,8.08,"33,359",0,"5,872","9,581","2,312","1,837",516,378,175,553,38,62,59,6,368,3500.00,1,0.87,1,0.865,Running,Normal and Stable Operation
20-05-2026,May,"8,460","9,010",1.9,"5,634",1169,4.35,7.23,"33,317",0,"5,767","9,020","2,321","1,792",292,385,163,548,39,61,59,5,349,3144.00,1,0.82,0.93,0.76167,Running,Normal and Stable Operation
21-05-2026,May,"9,105","9,105",2,"5,705",1146,4.30,8.50,"34,518",0,"5,626","9,579","2,239","1,687",332,381,166,547,37,63,57,6,365,3323.00,1,0.83,1,0.828,Running,Normal and Stable Operation
22-05-2026,May,"9,205","9,205",2,"5,833",1143,4.40,7.87,"33,186",458,"5,797","9,001","2,076","1,736",341,382,166,548,38,59,58,6,360,3314.00,1,0.84,1,0.837,Running,Normal and Stable Operation
23-05-2026,May,"8,510","8,510",1.8,"5,622",1140,4.36,7.98,"32,357",0,"6,558","7,699","2,086","1,605",241,367,176,543,46,54,57,6,380,3234.00,1,0.77,0.97,0.75078,Running,Normal and Stable Operation
24-05-2026,May,"8,010","8,010",1.7,"5,503",1144,4.28,4.90,"26,785",0,"7,393","6,298","2,200","1,602",0,367,175,542,54,46,56,5,388,3108.00,1,0.73,1,0.728,Running,Normal and Stable Operation
25-05-2026,May,"8,270","8,270",1.8,"5,584",1127,4.40,7.04,"26,943",0,"7,169","6,888","2,249","1,644",136,367,173,540,51,49,57,5,382,3159.00,1,0.75,1,0.752,Running,Normal and Stable Operation
26-05-2026,May,"9,130","9,130",2,"5,537",1125,4.37,8.28,"33,726",0,"7,663","7,725","1,883","1,794",139,365,176,541,50,50,57,7,373,3405.00,1,0.83,1,0.83,Running,Normal and Stable Operation
27-05-2026,May,"8,910","8,910",1.9,"5,526",1131,4.31,7.63,"29,718",0,"7,556","7,556","2,435","1,782",9,363,178,541,50,50,57,5,365,3252.00,1,0.81,1,0.81,Running,Normal and Stable Operation
28-05-2026,May,"7,810","7,810",1.7,"5,372",1150,4.09,6.25,"26,022",0,"5,505","7,603","1,999","1,583",268,364,180,544,42,58,57,5,380,2968.00,1,0.71,1,0.71,Running,Normal and Stable Operation
29-05-2026,May,"7,500","7,500",1.6,"5,138",1170,3.93,4.70,"19,594",0,"6,115","6,629","1,809","1,536",60,366,179,545,48,52,57,6,381,2858.00,1,0.68,1,0.682,Running,Normal and Stable Operation
30-05-2026,May,"9,100","9,100",2,"5,679",1139,4.39,8.68,"36,160",0,"7,424","8,040","2,866","1,852",87,367,178,545,48,52,57,5,378,3440.00,1,0.83,1,0.827,Running,Normal and Stable Operation
31-05-2026,May,"9,610","9,610",2.1,"5,758",1143,4.37,9.35,"37,793",0,"7,982","8,307","2,755","1,940",0,307,238,545,49,51,57,5,388,3729.00,1,0.87,1,0.874,Running,Normal and Stable Operation
15-07-2026,July,6250,6185,2.38,6100,1185,3.35,3.2,198,1750,4200,1050,1985,145,265,321,23,344,60.5,15.1,57.8,3.52,285,1762.7,100,97.8,99.2,97,Running,Normal and Stable Operation
